Game Ver,Time
1.16.5,108.421
1.16.5,109.16
1.16.5,109.435
1.16.5,111.452
1.16.5,111.671
1.16.5,111.953
1.16.5,112.286
1.16.5,112.674
1.16.5,113.012
1.16.5,113.355
1.16.5,114.343
1.16.5,114.558
1.16.5,114.671
1.16.5,114.761
1.16.5,114.797
1.16.5,114.849
1.16.5,115.019
1.16.5,115.038
1.16.5,115.338
1.16.1,115.788
1.16.5,116.279
1.17.1,116.454
1.16.5,116.773
1.17.1,117.04
1.16.5,117.212
1.16.5,117.369
1.16.5,117.695
1.16.5,118.011
1.16.5,118.27
1.16.5,118.443
1.16.5,118.453
1.16.5,118.658
1.16.5,118.706
1.16.5,118.957
1.16.5,118.997
1.16.1,119.04
1.16.5,119.114
1.16.5,119.195
1.16.5,119.222
1.16.5,119.259
1.16.5,119.412
1.16.5,119.606
1.17.1,119.624
1.17.1,120.667
1.17.1,120.831
1.17.1,121.317
1.17.1,121.367
1.17.1,121.557
1.17.1,121.624
1.17,121.967
1.17.1,122.03
1.16.5,122.22
1.16.5,122.467
1.16.5,122.813
1.17.1,122.972
1.17.1,123.176
1.17.1,123.25
1.16.5,123.33
1.17.1,123.5
1.17.1,123.776
1.17.1,123.783
1.16.5,123.805
1.17.1,124.117
1.17.1,124.403
1.17.1,124.933
1.16.5,124.977
1.16.5,125.117
1.17.1,125.195
1.16.5,125.236
1.17.1,125.283
1.16.5,125.53
1.17.1,125.562
1.17.1,125.789
1.17.1,125.825
1.16.5,125.829
1.17.1,125.933
1.17,126.267
1.16.5,126.274
1.17.1,126.54
1.17,126.633
1.17,127.2
1.17.1,127.257
1.17.1,127.467
1.17.1,127.517
1.17.1,127.55
1.16.5,127.609
1.17.1,127.722
1.17.1,127.892
1.16.5,127.981
1.16.5,128.014
1.16.5,128.079
1.17,128.083
1.16.5,128.14
1.16.5,128.457
1.17.1,128.5
1.17.1,128.576
1.17.1,128.703
1.16.5,128.904
1.17.1,129.181
1.17.1,129.336
1.17.1,129.344
1.16.5,129.394
1.17.1,129.424
1.17,129.667
1.17.1,129.807
1.17.1,129.812
1.17.1,129.9
1.17.1,129.916
1.17.1,129.935
1.16.5,129.978
1.16.1,130.091
1.17.1,130.233
1.16.5,130.264
1.17.1,130.267
1.17.1,130.428
1.17.1,130.46
1.17.1,130.463
1.17.1,130.475
1.17.1,130.551
1.17.1,130.883
1.17.1,131
1.17.1,131.053
1.17.1,131.114
1.17.1,131.405
1.16.5,131.63
1.17,131.767
1.16.5,131.802
1.16.5,131.948
1.17.1,132.059
1.16.1,132.067
1.17,132.167
1.17.1,132.64
1.17.1,132.767
1.17.1,133.072
1.17.1,133.406
1.16.5,133.49
1.17.1,133.519
1.17.1,133.667
1.17.1,133.7
1.17.1,133.706
1.17.1,133.747
1.16.5,134.44
1.17.1,134.499
1.16.5,134.658
1.17.1,134.7
1.17.1,134.897
1.17.1,134.967
1.16.5,135
1.17.1,135.197
1.17.1,135.2
1.17,135.433
1.16.5,135.471
1.16.5,135.52
1.17.1,135.55
1.16.5,135.556
1.17.1,135.689
1.16.5,135.71
1.16.5,135.713
1.17,135.783
1.16.5,135.784
1.17.1,135.8
1.16.1,135.867
1.17.1,135.869
1.16.1,136
1.16.1,136.133
1.17,136.2
1.17.1,136.232
1.17.1,136.254
1.17.1,136.298
1.17.1,136.46
1.17,136.467
1.17,136.533
1.17,136.583
1.17,136.867
1.16.1,136.9
1.17.1,136.933
1.17,136.967
1.17.1,137.026
1.17,137.1
1.16.5,137.101
1.16.5,137.103
1.16.5,137.217
1.17.1,137.342
1.17.1,137.364
1.17.1,137.433
1.16.5,137.503
1.17.1,137.515
1.17.1,137.6
1.17.1,137.821
1.16.1,137.867
1.16.1,137.917
1.16.1,137.967
1.17.1,138.101
1.17,138.133
1.17.1,138.133
1.17.1,138.183
1.16.1,138.3
1.17.1,138.445
1.16.1,138.567
1.16.5,138.846
1.17,138.883
1.17,138.9
1.17.1,139.276
1.17.1,139.317
1.16.1,139.417
1.17.1,139.518
1.17.1,139.635
1.16.5,139.684
1.16.1,139.71
1.17,139.833
1.17.1,139.864
1.16.5,139.891
1.16.1,139.9
1.16.1,140
1.17.1,140.05
1.17.1,140.25
1.17.1,140.3
1.16.5,140.359
1.17,140.45
1.16.1,140.533
1.17.1,140.643
1.17.1,140.737
1.17.1,140.828
1.16.1,140.833
1.16.1,140.983
1.16.1,141.067
1.16.5,141.073
1.16.1,141.1
1.16.1,141.267
1.17.1,141.367
1.16.1,141.45
1.16.1,141.467
1.17.1,141.478
1.16.5,141.77
1.16.1,141.8
1.16.1,141.95
1.16.1,141.967
1.16.1,142.067
1.16.5,142.237
1.17.1,142.3
1.17,142.367
1.16.1,142.383
1.17.1,142.583
1.16.1,142.633
1.16.1,142.833
1.16.5,142.926
1.16.1,142.95
1.16.1,143.05
1.17.1,143.15
1.16.5,143.228
1.16.5,143.266
1.17.1,143.274
1.16.1,143.333
1.16.1,143.4
1.17.1,143.5
1.17.1,143.5
1.17,143.533
1.16.1,143.55
1.16.1,143.565
1.16.1,143.667
1.17.1,143.683
1.16.5,143.717
1.16.1,143.867
1.17.1,143.92
1.17.1,143.934
1.16.1,144.017
1.17.1,144.018
1.16.1,144.05
1.16.1,144.083
1.16.1,144.093
1.16.1,144.1
1.17.1,144.148
1.16.5,144.176
1.16.1,144.183
1.17.1,144.226
1.17.1,144.28
1.16.5,144.284
1.16.1,144.333
1.17.1,144.383
1.15.2,144.386
1.16.1,144.4
1.16.1,144.4
1.16.1,144.45
1.16.5,144.45
1.17.1,144.533
1.16.1,144.55
1.17.1,144.55
1.16.1,144.6
1.17,144.6
1.16.1,144.633
1.17.1,144.7
1.17.1,144.742
1.16.1,144.85
1.17,145.1
1.17.1,145.107
1.16,145.2
1.16.1,145.25
1.16.1,145.367
1.16.1,145.433
1.17.1,145.5
